,0,1,2
None,-0.5102765402050653,-0.5993312597032041,-0.5194728347521377
"[20, 12, 20]",-0.6538293780230215,-0.8040830630834769,-0.38392482104459746
"[19, 11, 17]",-0.8790832863561128,-0.7449354418261375,-0.4841671480582731
"[17, 11, 14]",-0.6560144489721306,-0.6705196831557787,-0.4927245507446526
"[12, 10, 13]",-0.6553234857566805,-0.6902341074451259,-0.4708959020366292
"[11, 9, 11]",-0.48075825766784946,-0.9118403404776743,-0.663278682456386
"[10, 9, 8]",-0.49016867009985376,-0.49391615664897565,-1.1720748887258003
"[9, 8, 5]",-0.508154528775398,-0.657777143151179,-0.6986237709712944
"[9, 5, 4]",-0.732089002674867,-0.5687836559727932,-0.6074077428935127
"[7, 4, 2]",-0.8589542569059971,-0.5084092093033853,-0.6655746895642841
"[18, 11, 18]",-0.7354535335573151,0.35183771116812823,-0.7476139844191976
"[15, 8, 18]",-0.4966443419150949,-0.8000853833704784,-0.7218974732920698
"[12, 7, 16]",-0.5396989455962734,-0.7325511334164294,-0.4500386005197222
"[10, 6, 15]",-0.5179614588813475,-0.5468142276714338,-0.5637402592822711
"[7, 6, 14]",-0.6854898432100593,-0.45497760653470054,-0.6369501598599681
"[6, 6, 11]",-0.525249629873296,-0.5275603090785892,-0.6976076634500725
"[6, 5, 8]",-0.5548072805304093,-0.42467153216155223,-0.5690793283032969
"[4, 4, 6]",-0.8001395671822669,-0.7612964882955139,-0.5514500532699073
terminal,0.0,0.0,0.0
"[18, 11, 19]",-0.7344167837690414,-0.5792255365491978,-0.49621158673635957
"[15, 10, 17]",-0.49449633249950786,-0.5408779343989523,-0.4986670621562224
"[15, 9, 14]",-0.4990778458586186,-0.515392182653829,-0.5882955158858336
"[13, 8, 12]",-0.5082431220275301,-0.5207539517820621,-0.6362250536535697
"[11, 8, 10]",-0.4894872689312486,-0.5722936415227924,-0.6111417878445723
"[10, 7, 7]",-0.5594821146480617,-0.5215594114254887,-0.441986193794102
"[9, 5, 6]",-0.6759036805533098,-0.6183571322083568,-0.6644263047890242
"[7, 4, 5]",-0.617211540933567,-0.5045633039333083,-1.2633685972270035
