,0,1,2
None,-0.25387550310692103,-0.568824915032424,-0.5323497778688311
"[20, 12, 20]",-0.2376309186099964,-0.66515879111579,-0.5324129824794442
"[18, 11, 19]",-0.26164278518548956,-0.4417488372337648,-0.3397296588172749
"[15, 10, 17]",-0.6098712267365762,-0.2997219623296635,-0.63180606390418
"[13, 10, 14]",-0.27145317493869625,-0.2635250391506686,-0.25033356903625736
"[12, 9, 11]",-0.30068425179926395,-0.2793911428855416,-0.23233634125628957
"[10, 8, 10]",-0.26102750725524115,-0.34692574567138756,-1.1302493666200735
"[9, 4, 10]",-0.35451921896172034,-0.4188267903088079,-0.5076044097701905
"[7, 2, 9]",-0.575707074440702,-0.3702789020273362,-0.4249936655771684
"[2, 2, 7]",-0.24788238658799527,-0.588413147099803,-0.6664164953170828
"[20, 8, 20]",-0.12000057585762822,-0.5794355183016582,-0.3391917774793014
"[19, 5, 20]",0.0,0.0,0.0
"[16, 5, 19]",0.0,0.0,0.0
"[15, 4, 17]",-0.005157125456932669,0.017443429273810714,0.0
"[14, 4, 14]",-0.1286705326138679,-0.19604568368006028,-0.14073014207722945
"[11, 4, 13]",-0.28444342016354884,-0.3759095779892231,-0.28177114829492644
"[10, 4, 10]",-0.33230341655482115,-0.29610473643747226,-0.2875711389310157
"[10, 1, 9]",-0.15383643630260907,-0.23958593438086961,-0.18309408716255512
"[7, 0, 7]",-0.43500242045765874,-0.1267791188647977,-0.4508269636449458
terminal,0.0,0.0,0.0
"[18, 11, 18]",-0.3956130034197701,-0.6467591855026105,-0.7514970078627612
"[16, 10, 16]",-0.24561275773085864,-0.3526316013824027,-0.24517713773640998
"[14, 9, 14]",-0.268219735291853,-0.2802330030796234,-0.28192548345921176
"[12, 9, 12]",-0.2651111773426782,-0.2832512390133909,-0.25752372873307394
"[11, 9, 8]",-0.23101246469287712,-0.22464399053062906,-0.20413455170553207
"[9, 8, 6]",-0.032558841279505396,-0.24064793394706674,-0.3100102230648822
"[7, 6, 5]",-0.45095918114774247,-0.27888762662827654,-0.5169720655342382
"[7, 4, 3]",-0.6776129043908257,-0.6917316834192935,-0.6618115004582366
"[18, 12, 17]",-0.7455211297377311,-0.6651921198002073,-0.44616123438331845
"[16, 11, 15]",-0.32920754948038367,-0.29935534870256364,-0.4012672081685004
"[14, 10, 12]",-0.27373560040061184,-0.26956459305250025,-0.25277492665001133
"[13, 9, 10]",-0.254820383589133,-0.2714237259695715,-0.2637372169265605
"[12, 6, 8]",-0.3151751381559317,-0.3345368392089303,-0.2793735903241522
"[10, 5, 7]",-0.21729042120275627,-1.2255581807773321,-0.47129081644861687
"[8, 5, 5]",-0.2987173548581152,-0.40044787632769235,-0.38765769719107523
"[6, 4, 3]",-0.4642951304658687,-0.38976268993228624,-0.3967915936636812
"[19, 11, 16]",-0.2517491236317464,-0.34649133454476855,-0.6065845581114695
"[17, 10, 14]",-0.6222905264642398,-0.2949779492865183,-0.42862108238522406
"[16, 8, 13]",-0.23666010608112534,-0.27653532802274416,-0.28436643752194246
"[14, 7, 11]",-0.269129594448388,-0.24110097411074405,-0.30513432148082265
"[9, 6, 10]",-0.27529885607336047,-0.375919963301523,-0.3782749246173952
"[6, 6, 5]",-0.43125986971963304,-0.30847497799065715,-0.3324778551067241
"[20, 12, 16]",-0.12348538513418134,-0.2503927279785845,-0.5743487965851855
"[17, 12, 15]",-0.16412623558830464,-0.21594175831525877,-0.16511842726738224
"[16, 10, 14]",-0.2548395672377709,-0.2737740008869665,-0.19462420765449062
"[13, 7, 13]",-0.3307528206065494,-0.4228014853744553,-0.30217576270533364
"[12, 7, 10]",-0.33583713228707035,-0.3516192046757399,-0.4409213044971651
"[10, 6, 7]",-0.35500997797404377,-0.2736587441823284,-0.34060342888004985
